index,feature_EN,feature_VI,category
0,abdominal pain,đau bụng,Hệ tiêu hóa
1,abnormal menstruation,kinh nguyệt bất thường,Hệ sinh sản
2,acidity,axit dạ dày,Hệ tiêu hóa
3,acute liver failure,suy gan cấp,Hệ tiêu hóa
4,altered sensorium,ý thức thay đổi,Thần kinh
5,anxiety,lo lắng,Thần kinh
6,back pain,đau lưng,Cơ - Xương - Khớp
7,belly pain,đau bụng,Hệ tiêu hóa
8,blackheads,mụn đầu đen,Da liễu
9,bladder discomfort,khó chịu bàng quang,Hệ tiêu hóa
10,blister,phồng rộp,Da liễu
11,blood in sputum,có máu trong đờm,Hệ hô hấp
12,bloody stool,phân có máu,Hệ tiêu hóa
13,blurred and distorted vision,mờ và biến dạng tầm nhìn,Mắt
14,breathlessness,khó thở,Hệ hô hấp
15,brittle nails,móng giòn,Da liễu
16,bruising,bầm tím,Da liễu
17,burning micturition,nóng rát khi tiểu,Hệ tiêu hóa
18,chest pain,đau ngực,Hệ hô hấp
19,chills,ớn lạnh,Toàn thân
20,cold hands and feets,tay và chân lạnh,Toàn thân
21,coma,hôn mê,Thần kinh
22,congestion,nghẹt mũi,Hệ hô hấp
23,constipation,táo bón,Hệ tiêu hóa
24,continuous feel of urine,cảm giác tiểu liên tục,Hệ tiêu hóa
25,continuous sneezing,hắt hơi liên tục,Hệ hô hấp
26,cough,ho,Hệ hô hấp
27,cramps,chuột rút,Toàn thân
28,dark urine,nước tiểu sẫm màu,Hệ tiêu hóa
29,dehydration,mất nước,Toàn thân
30,depression,trầm cảm,Tâm lý
31,diarrhoea,tiêu chảy,Hệ tiêu hóa
32,dischromic patches,mảng da đổi màu,Da liễu
33,distention of abdomen,bụng phình to,Hệ tiêu hóa
34,dizziness,chóng mặt,Thần kinh
35,drying and tingling lips,môi khô và ngứa ran,Da liễu
36,enlarged thyroid,tuyến giáp to,Toàn thân
37,excessive hunger,đói quá mức,Hệ tiêu hóa
38,extra marital contacts,quan hệ ngoài hôn nhân,Toàn thân
39,family history,tiền sử gia đình,Toàn thân
40,fast heart rate,tim đập nhanh,Tim mạch
41,fatigue,mệt mỏi,Toàn thân
42,fluid overload,quá tải dịch,Toàn thân
43,foul smell of urine,nước tiểu có mùi hôi,Hệ tiêu hóa
44,headache,đau đầu,Thần kinh
45,high fever,sốt cao,Toàn thân
46,hip joint pain,đau khớp hông,Cơ - Xương - Khớp
47,history of alcohol consumption,tiền sử uống rượu,Toàn thân
48,increased appetite,tăng cảm giác thèm ăn,Hệ tiêu hóa
49,indigestion,khó tiêu,Hệ tiêu hóa
50,inflammatory nails,móng bị viêm,Da liễu
51,internal itching,ngứa bên trong,Da liễu
52,irregular sugar level,đường huyết không đều,Toàn thân
53,irritability,dễ cáu gắt,Thần kinh
54,irritation in anus,kích ứng hậu môn,Hệ tiêu hóa
55,itching,ngứa,Da liễu
56,joint pain,đau khớp,Cơ - Xương - Khớp
57,knee pain,đau đầu gối,Cơ - Xương - Khớp
58,lack of concentration,thiếu tập trung,Thần kinh
59,lethargy,uể oải,Thần kinh
60,loss of appetite,chán ăn,Hệ tiêu hóa
61,loss of balance,mất cân bằng,Thần kinh
62,loss of smell,mất khứu giác,Hệ hô hấp
63,malaise,mệt mỏi,Thần kinh
64,mild fever,sốt nhẹ,Toàn thân
65,mood swings,thay đổi tâm trạng,Tâm lý
66,movement stiffness,cứng cơ,Cơ - Xương - Khớp
67,mucoid sputum,đờm nhầy,Hệ hô hấp
68,muscle pain,đau cơ,Cơ - Xương - Khớp
69,muscle wasting,teo cơ,Cơ - Xương - Khớp
70,muscle weakness,yếu cơ,Cơ - Xương - Khớp
71,nausea,buồn nôn,Hệ tiêu hóa
72,neck pain,đau cổ,Cơ - Xương - Khớp
73,nodal skin eruptions,nốt sần trên da,Da liễu
74,obesity,béo phì,Toàn thân
75,pain behind the eyes,đau sau mắt,Cơ - Xương - Khớp
76,pain during bowel movements,đau khi đại tiện,Hệ tiêu hóa
77,pain in anal region,đau vùng hậu môn,Hệ tiêu hóa
78,painful walking,đau khi đi bộ,Cơ - Xương - Khớp
79,palpitations,hồi hộp,Tim mạch
80,passage of gases,xì hơi,Hệ tiêu hóa
81,patches in throat,mảng trắng ở cổ họng,Hệ hô hấp
82,phlegm,đờm,Hệ hô hấp
83,polyuria,tiểu nhiều,Hệ tiêu hóa
84,prominent veins on calf,tĩnh mạch nổi rõ ở bắp chân,Tim mạch
85,puffy face and eyes,mặt và mắt sưng húp,Toàn thân
86,pus filled pimples,mụn mủ,Da liễu
87,receiving blood transfusion,nhận truyền máu,Toàn thân
88,receiving unsterile injections,nhận tiêm không vô trùng,Toàn thân
